Serial No,Floor System Type,Usage,Boundary Condition,Longest Grid Length (m),Shortest Grid Length (m),Volume of Concrete (m³),Volume of Reinforcement (m³),Concrete Usage Index (CUI) (m³/m²),Reinforcement Usage Index (RUI) (kg/m²),Embodied Carbon Energy (GJ),Emissions CO2 GWP (kg CO2 eq./1000)
251,Flat-slab,Residential,Internal Panel,3,3,1.575,0.014951468,0.525,39.123,6.54,0.69
252,Flat-slab,Residential,Internal Panel,4,4,3.2,0.027892316,0.8,54.739,12.69,1.34
253,Flat-slab,Residential,Internal Panel,5,5,5.625,0.081900064,1.125,128.583,30.05,3.03
254,Flat-slab,Residential,Internal Panel,6,6,9,0.236167343,1.5,308.986,72.84,7
255,Flat-slab,Residential,Internal Panel,7,7,13.475,0.366975781,1.925,411.537,112.21,10.75
256,Flat-slab,Residential,Internal Panel,8,8,19.2,0.522958146,2.4,513.153,159.91,15.32
257,Flat-slab,Residential,Internal Panel,9,9,26.325,0.737237549,2.925,643.035,224.01,21.42
258,Flat-slab,Common space,Internal Panel,3,3,1.575,0.019201414,0.525,50.244,7.54,0.77
259,Flat-slab,Common space,Internal Panel,4,4,3.2,0.053720732,0.8,105.427,18.78,1.87
260,Flat-slab,Common space,Internal Panel,5,5,5.625,0.116979339,1.125,183.658,38.31,3.75
261,Flat-slab,Common space,Internal Panel,6,6,9,0.307383478,1.5,402.16,89.61,8.45
262,Flat-slab,Common space,Internal Panel,7,7,13.475,0.431682851,1.925,484.101,127.45,12.07
263,Flat-slab,Common space,Internal Panel,8,8,19.2,0.688617594,2.4,675.706,198.92,18.7
264,Flat-slab,Common space,Internal Panel,9,9,26.325,0.963304985,2.925,840.216,277.24,26.03
265,Flat-slab,Office,Internal Panel,3,3,1.575,0.016813804,0.525,43.996,6.97,0.72
266,Flat-slab,Office,Internal Panel,4,4,3.2,0.031518971,0.8,61.856,13.55,1.42
267,Flat-slab,Office,Internal Panel,5,5,5.625,0.092913231,1.125,145.874,32.65,3.26
268,Flat-slab,Office,Internal Panel,6,6,9,0.26258688,1.5,343.551,79.07,7.54
269,Flat-slab,Office,Internal Panel,7,7,13.475,0.38257316,1.925,429.028,115.89,11.07
270,Flat-slab,Office,Internal Panel,8,8,19.2,0.645684746,2.4,633.578,188.81,17.82
